code,current_code,announced_on,old_registry,new_registry,headline,classification,method,pdf_url
IPB,FEL,2024-07-05,MUFG Corporate Markets,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240705/pdf/0659z96nkhkdjq.pdf
IVX,IVX,2024-07-01,MUFG Corporate Markets,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240701/pdf/0653qznvj7wvfp.pdf
SPA,SPA,2024-07-01,Computershare,Boardroom,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240701/pdf/06539zkct7yw3r.pdf
IPG,IPG,2024-06-28,Automic,Computershare,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240628/pdf/065191j3m3w73d.pdf
BOL,BOL,2024-06-24,Computershare,Automic,Change of Share Registry Details,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240624/pdf/064vpd00lm4v03.pdf
SNT,SNT,2024-06-24,Computershare,Boardroom,Change of Share Registry Management Services,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240624/pdf/064vybnwwcn3qg.pdf
IVZ,IVZ,2024-06-17,Computershare,MUFG Corporate Markets,Change in Share Registry,provider_change,two_brands,https://announcements.asx.com.au/asxpdf/20240617/pdf/064n7ly1tj2trb.pdf
IEC,BTM,2024-05-31,MUFG Corporate Markets,Automic,Change of Share Registry,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240531/pdf/0644jcgwxy3d7m.pdf
FDV,FDV,2024-05-27,Computershare,MUFG Corporate Markets,Change of share registry provider,provider_change,from_to,https://announcements.asx.com.au/asxpdf/20240527/pdf/063ylmllz6z2r2.pdf
CAA,CAA,2024-05-24,Computershare,Automic,Change of Share Registry address,address_only,two_brands,https://announcements.asx.com.au/asxpdf/20240524/pdf/063x0vyqtwngq8.pdf
